_id,7.png,9.png,11.png,13.png,15.png,17.png,19.png,21.png,23.png,25.png,27.png,29.png,31.png,33.png,35.png,37.png,39.png,41.png,43.png,45.png,47.png,49.png,51.png,53.png,55.png,57.png,59.png,61.png,63.png,65.png,67.png,69.png,71.png,73.png,75.png,77.png,79.png,81.png
5c7642db75f172b57c7206f1,blue,p1,p2,green,p2,red,p2,p1,orange,p2,p2,p2,green,p1,p2,orange,p1,orange,green,green,p1,orange,p2,orange,green,p1,p1,p1,blue,green,p1,orange,blue,p1,orange,p2,green,purple
5c763f451dea0e8c5250f405,blue,p1,p2,green,p2,blue,p1,p1,orange,p2,p2,p2,green,p1,p2,red,p1,orange,green,green,p1,orange,p2,orange,green,p2,p1,p1,blue,blue,p1,orange,blue,p2,orange,p2,green,green
5c768f6675f172fb6c95752c,blue,p1,p2,pink,p2,red,p2,p1,orange,p2,p2,p2,green,p2,p2,orange,p1,orange,green,green,p1,orange,p2,orange,green,p1,p1,p2,blue,blue,p1,orange,lavender,p2,orange,p2,green,green
