_id,7.png,9.png,11.png,13.png,15.png,17.png,19.png,21.png,23.png,25.png,27.png,29.png,31.png,33.png,35.png,37.png,39.png,41.png,43.png,45.png,47.png,49.png,51.png,53.png,55.png,57.png,59.png,61.png,63.png,65.png,67.png,69.png,71.png,73.png,75.png,77.png,79.png,81.png
5c7644ed75f172a23942dc31,3.39,5.77,2.43,6.76,13.53,16.46,7,6.59,5.84,32.3,12.79,30.94,13.68,2.36,3.73,6.9399999999999995,42.95,9.13,13.14,13.68,13.28,4.12,5.09,2.39,35.56,3.09,16.18,71.18,10.78,3.03,10.05,21.51,2.3,5.66,4.13,7.68,4.15,6.7
5c763e321dea0e8c34b990d4,2.86,4.9399999999999995,2.4699999999999998,5.5600000000000005,3.34,4.16,8.93,6.48,3.43,4.24,4.34,3.03,7.84,3.22,7.29,6.43,4.47,3.27,4.33,7.8,2.5,3.17,5.04,3.61,3.94,3.25,3.17,4.88,6.15,2.23,5.77,2.25,2.49,4.03,3.77,2.81,4.15,5.79
5c768c7275f172e8d898bbdd,1.5,12.87,4.78,10.58,6.35,9.57,10.82,20.06,9.15,8.14,4.37,6.49,26.14,7.92,5.9399999999999995,10.14,7.62,5.28,5.74,7.08,7.17,5.66,7.07,4.5600000000000005,9.98,3.07,5.32,5.71,13.33,4.2,4.37,3.85,3.4,5.74,5.86,5.83,8.66,5.88
