_id,7.png,9.png,11.png,13.png,15.png,17.png,19.png,21.png,23.png,25.png,27.png,29.png,31.png,33.png,35.png,37.png,39.png,41.png,43.png,45.png,47.png,49.png,51.png,53.png,55.png,57.png,59.png,61.png,63.png,65.png,67.png,69.png,71.png,73.png,75.png,77.png,79.png,81.png
5c7644ed75f172a23942dc31,2,cluster2,3,cluster2,cluster1,cluster1,8,5,3,cluster2,cluster1,cluster2,cluster2,3,5,8,cluster1,cluster1,cluster2,8,cluster2,5,8,3,cluster2,5,cluster1,cluster1,8,3,cluster1,cluster1,3,5,cluster1,cluster1,5,8
5c763e321dea0e8c34b990d4,2,cluster2,3,cluster2,cluster1,cluster2,8,5,3,cluster1,cluster1,cluster2,cluster1,3,5,8,cluster1,cluster2,cluster2,8,cluster2,5,8,3,cluster2,5,cluster1,cluster1,8,3,cluster1,cluster1,3,5,cluster1,cluster1,5,8
5c768c7275f172e8d898bbdd,2,cluster2,3,cluster2,cluster1,cluster2,8,5,3,cluster1,cluster1,cluster2,cluster1,3,5,8,cluster2,cluster2,cluster2,8,cluster2,5,8,3,cluster2,5,cluster1,cluster1,8,3,cluster1,cluster1,3,5,cluster1,cluster1,5,8
